Name,Country
01 Communique Laboratory Inc.,Canada
5Banc Split Inc.,Canada
5N Plus Inc.,Canada
A&W Revenue Royalties Income Fund,Canada
Aastra Technologies Limited,Canada
Aberdeen Asia-Pacific Income Investment Company Ltd.,UK/Europe
Aberdeen International Inc.,Canada
Absolute Software Corporation,Canada
Acadian Timber Corp,Canada
Accord Financial Corp.,Canada
ACTIVEnergy Income Fund,Canada
ADF Group Inc.,Canada
Adherex Technologies Inc.,USA
Advantage Oil & Gas Ltd.,Canada
Advantaged Canadian High Yield Bond Fund,Canada
Advantaged Preferred Share Trust,Canada
Aecon Group Inc.,Canada
AEterna Zentaris Inc.,Canada
Africo Resources Ltd.,Canada
AG Growth International Inc,Canada
Agellan Commercial Real Estate Investment Trust,Canada
AGF Management Limited,Canada
AgJunction Inc.,Canada
Agnico Eagle Mines Limited,Canada
Agrium Inc.,Canada
Aimia Inc.,Canada
Ainsworth Lumber Co. Ltd.,Canada
Air Canada,Canada
AirBoss of America Corp.,Canada
Akita Drilling Ltd.,Canada
Alacer Gold Corp.,USA
Alamos Gold Inc.,Canada
Alaris Royalty Corp.,Canada
AlarmForce Industries Inc.,Canada
Alderon Iron Ore Corp.,Canada
Alexco Resource Corp.,Canada
Algoma Central Corporation,Canada
Algonquin Power & Utilities Corp,Canada
Alimentation Couche-Tard Inc.,Canada
Allana Potash Corp,Canada
Allbanc Split Corp.,Canada
Allbanc Split Corp. II,Canada
Alliance Grain Traders Inc.,Canada
Allied Nevada Gold Corp.,USA
Allied Properties Real Estate Investment Trust,Canada
Almaden Minerals Ltd.,Canada
AltaGas Ltd.,Canada
Alter NRG Corp.,Canada
Alterra Power Corp.,Canada
Altius Minerals Corporation,Canada
Altus Group Limited,Canada
Amaya Gaming Group Inc.,Canada
American Bonanza Gold Corp.,Canada
American Core Sectors Dividend Fund,Canada
American Hotel Income Properties REIT LP,Canada
Americas Bullion Royalty Corp.,Canada
Amerigo Resources Ltd.,Canada
Amica Mature Lifestyles Inc./Style de Vie Amica Inc.,Canada
Amorfix Life Sciences Ltd.,Canada
Anaconda Mining Inc.,Canada
Anderson Energy Ltd.,Canada
Andrew Peller Limited/Andrew Peller Limitee,Canada
Anglo Pacific Group PLC,UK/Europe
Antrim Energy Inc.,Canada
Aquila Resources Inc.,Canada
ARC Resources Ltd.,Canada
Argent Energy Trust,Canada
Argex Titanium Inc.,Canada
Argonaut Gold Inc.,USA
Armistice Resources Corp.,Canada
Armtec Infrastructure Inc.,Canada
Arsenal Energy Inc.,Canada
Artek Exploration Ltd.,Canada
Artemis U.S. Capital Appreciation Fund,Canada
Artis Real Estate Investment Trust,Canada
Asanko Gold Inc.,Canada
Asia Bio-Chem Group Corp.,China/Asia
Aston Hill Advantage Bond Fund,Canada
Aston Hill Advantage Oil & Gas Income Fund,Canada
Aston Hill Advantage VIP Income Fund,Canada
Aston Hill Financial Inc.,Canada
Aston Hill Oil & Gas Income Fund,Canada
Aston Hill VIP Income Fund,Canada
Atco Ltd.,Canada
Athabasca Oil Corporation,Canada
Atlantic Power Corporation,USA
Atlantic Power Preferred Equity Ltd.,USA
Atna Resources Ltd.,Canada
Atrium Innovations Inc.,Canada
Atrium Mortgage Investment Corporation,Canada
ATS Automation Tooling Systems Inc.,Canada
Augusta Resource Corporation,Canada
Aura Minerals Inc.,Canada
Aureus Mining Inc.,UK/Europe
AuRico Gold Inc.,Canada
Aurora Oil & Gas Limited,Australia/NZ/PNG
Australian Banc Capital Securities Trust,Canada
Australian Banc Income Fund,Canada
Australian REIT Income Fund,Canada
AutoCanada Inc,Canada
Automodular Corporation,Canada
Avalon Rare Metals Inc,Canada
Avcorp Industries Inc.,Canada
Avigilon Corporation,Canada
Avnel Gold Mining Limited,Other
Axia NetMedia Corporation,Canada
B2Gold Corp.,Canada
Badger Daylighting Ltd.,Canada
Baja Mining Corp.,Canada
Ballard Power Systems Inc.,Canada
Balmoral Resources Ltd.,Canada
Bank of Montreal,Canada
Bank of Nova Scotia (The),Canada
Bankers Petroleum Ltd.,Canada
Bannerman Resources Limited,Australia/NZ/PNG
Banro Corporation,Canada
"Barclays Bank PLC Fixed Income Notes, Series I-10",USA
Barrick Gold Corporation,Canada
Bauer Performance Sports Ltd.,USA
Baylin Technologies Inc.,Other
Baytex Energy Corp.,Canada
BCE Inc.,Canada
Becker Milk Company Ltd. (The),Canada
Bell Aliant Inc.,Canada
Bell Aliant Preferred Equity Inc.,Canada
Bellatrix Exploration Ltd,Canada
BELLUS Health Inc.,Canada
Belo Sun Mining Corp.,Canada
Bengal Energy Ltd.,Canada
Besra Gold Inc.,Canada
Big 8 Split Inc.,Canada
Big Bank Big Oil Split Corp.,Canada
Big Rock Brewery Inc.,Canada
Bioniche Life Sciences Inc.,Canada
BioteQ Environmental Technologies Inc.,Canada
BIOX Corporation,Canada
Birchcliff Energy Ltd.,Canada
Bird Construction Inc.,Canada
Black Diamond Group Limited,Canada
Black Iron Inc.,Canada
BlackBerry Limited,Canada
BlackPearl Resources Inc.,Canada
Bloom Income & Growth Canadian Fund,Canada
Bloom Select Income Fund,Canada
Bloom U.S.  Income & Growth Fund,Canada
Blue Ribbon Income Fund,Canada
BMO 2013 Corporate Bond Target Maturity ETF,Canada
BMO 2015 Corporate Bond Target Maturity ETF,Canada
BMO 2020 Corporate Bond Target Maturity ETF,Canada
BMO 2025 Corporate Bond Target Maturity ETF,Canada
BMO Aggregate Bond Index ETF,Canada
BMO Canadian Dividend ETF,Canada
BMO China Equity Index ETF,Canada
BMO Covered Call Canadian Banks ETF,Canada
BMO Covered Call Dow Jones Industrial Average Hedged to CAD ETF,Canada
BMO Covered Call Utilities ETF,Canada
BMO Dow Jones Industrial Average Hedged to CAD Index ETF,Canada
BMO Emerging Markets Bond Hedged to CAD Index ETF,Canada
BMO Equal Weight REITs Index ETF,Canada
BMO Equal Weight US Banks Hedged to CAD Index ETF,Canada
BMO Equal Weight US Health Care Hedged to CAD Index ETF,Canada
BMO Equal Weight Utilities Index ETF,Canada
BMO Global Infrastructure Index ETF,Canada
BMO High Yield US Corporate Bond Hedged to CAD Index ETF,Canada
BMO India Equity Index ETF,Canada
BMO Junior Gas Index ETF,Canada
BMO Junior Gold Index ETF,Canada
BMO Junior Oil Index ETF,Canada
BMO Long Corporate Bond Index ETF,Canada
BMO Long Federal Bond Index ETF,Canada
BMO Long Provincial Bond Index ETF,Canada
BMO Low Volatility Canadian Equity ETF,Canada
BMO Low Volatility US Equity ETF,Canada
BMO Mid Corporate Bond Index ETF,Canada
BMO Mid Federal Bond Index ETF,Canada
BMO Mid Provincial Bond Index ETF,Canada
BMO Mid-Term US IG Corporate Bond Hedged to CAD Index ETF,Canada
BMO Mid-Term US IG Corporate Bond Index ETF,Canada
BMO Monthly Income ETF,Canada
BMO MSCI EAFE Hedged to CAD Index ETF,Canada
BMO MSCI Emerging Markets Index ETF,Canada
BMO Nasdaq 100 Equity Hedged To CAD Index ETF,Canada
BMO Real Return Bond Index ETF,Canada
BMO S&P 500 Hedged to CAD Index ETF,Canada
BMO S&P 500 Index ETF,Canada
BMO S&P/TSX Capped Composite Index ETF,Canada
BMO S&P/TSX Equal Weight Banks Index ETF,Canada
BMO S&P/TSX Equal Weight Global Base Metals Hedged to CAD Index ETF,Canada
BMO S&P/TSX Equal Weight Global Gold Index ETF,Canada
BMO S&P/TSX Equal Weight Industrials Index ETF,Canada
BMO S&P/TSX Equal Weight Oil & Gas Index ETF,Canada
BMO S&P/TSX Laddered Preferred Share Index ETF,Canada
BMO Short Corporate Bond Index ETF,Canada
BMO Short Federal Bond Index ETF,Canada
BMO Short Provincial Bond Index ETF,Canada
BMO US Dividend ETF,Canada
BMO US Dividend Hedged to CAD ETF,Canada
BMTC Group Inc.,Canada
BNK Petroleum Inc.,USA
BNS Split Corp. II,Canada
Boardwalk Real Estate Investment Trust,Canada
Bombardier Inc.,Canada
Bonavista Energy Corporation,Canada
Bonterra Energy Corp,Canada
Boralex Inc.,Canada
Boston Pizza Royalties Income Fund,Canada
Boyd Group Income Fund,Canada
Boyuan Construction Group Inc,China/Asia
Braeval Mining Corporation,Canada
Brampton Brick Limited,Canada
Brand Leaders Income Fund,Canada
Bri-Chem Corp.,Canada
Brick Brewing Co. Limited,Canada
Brigus Gold Corp,Canada
Brompton Lifeco Split Corp.,Canada
Brompton Split Banc Corp.,Canada
Brookfield Asset Management Inc.,Canada
Brookfield Canada Office Properties,Canada
Brookfield Global Infrastructure Securities Income Fund,Canada
Brookfield High Yield Strategic Income Fund,Canada
Brookfield Infrastructure Partners L.P.,Other
Brookfield Office Properties Inc.,USA
Brookfield Property Partners L.P.,Other
Brookfield Real Estate Services Inc.,Canada
Brookfield Renewable Energy Partners  L.P.,Canada
Brookfield Renewable Power Preferred Equity Inc,Canada
Brookfield Residential Properties Inc.,Canada
Brookfield Soundvest Equity Fund,Canada
Brookfield Soundvest Split Trust,Canada
BRP Inc.,Canada
BTB Real Estate Investment Trust,Canada
Buhler Industries Inc.,Canada
Build America Investment Grade Bond Fund,Canada
Burcon NutraScience Corporation,Canada
C.A. Bancorp Inc.,Canada
CAE Inc.,Canada
Caldwell Partners International Inc. (The),Canada
Caledonia Mining Corporation,Canada
Calfrac Well Services Ltd.,Canada
Calian Technologies Ltd.,Canada
Calloway Real Estate Investment Trust,Canada
Calmena Energy Services Inc.,Canada
Calvalley Petroleum Inc.,Canada
Cameco Corporation,Canada
Can-60 Income Corp.,Canada
Canacol Energy Ltd.,Canada
"Canada Bread Company, Limited",Canada
Canada Lithium Corp,Canada
Canaddord Genuity Group Inc.,Canada
Canadian 50 Advantaged Preferred Share Fund,Canada
Canadian Advantaged Convertibles Fund,Canada
Canadian Apartment Properties Real Estate Investment Trust,Canada
Canadian Banc Capital Securities Trust,Canada
Canadian Banc Corp.,Canada
Canadian Convertibles Plus Fund,Canada
Canadian Energy Services & Technology Corp,Canada
Canadian General Investments Limited,Canada
Canadian High Income Equity Fund,Canada
Canadian High Yield Focus Fund,Canada
Canadian Imperial Bank Of Commerce,Canada
Canadian Life Companies Split Corp.,Canada
Canadian National Railway Company,Canada
Canadian Natural Resources Limited,Canada
Canadian Oil Sands Limited,Canada
Canadian Pacific Railway Limited,Canada
Canadian Real Estate Investment Trust,Canada
Canadian Resources Income Trust,Canada
Canadian Tire Corporation Limited,Canada
Canadian Utilities & Telecom Income Fund,Canada
Canadian Utilities Limited,Canada
Canadian Western Bank,Canada
Canadian Wireless Trust,Canada
Canadian World Fund Limited,Canada
Canadian Zinc Corporation,Canada
Canam Group Inc.,Canada
Canarc Resource Corp.,Canada
CanBanc 8 Income Corp.,Canada
CanBanc Income Corp,Canada
Candax Energy Inc.,Canada
Candente Copper Corp,Canada
Candente Gold Corp.,Canada
CanElson Drilling Inc,Canada
Canexus Corporation,Canada
Can-Financials Income Corp.,Canada
Canfor Corporation,Canada
Canfor Pulp Products Inc.,Canada
Cangene Corporation,Canada
Canickel Mining Limited,Canada
Canlan Ice Sports Corp.,Canada
Canoe EIT Income Fund,Canada
Canso Credit Income Fund,Canada
Canso Select Opportunities Fund,Canada
CanWel Building Materials Group Ltd.,Canada
Canyon Services Group Inc.,Canada
Capital Power Corporation,Canada
Capstone Infrastructure Corporation,Canada
Capstone Mining Corp.,Canada
Cardero Resource Corp.,Canada
Cardinal Energy Ltd.,Canada
Cardiome Pharma Corp.,Canada
Carfinco Financial Group Inc.,Canada
Cargojet Inc.,Canada
"Caribbean Utilities Company, Ltd.",Other
Carlisle Goldfields Limited,Canada
Carmanah Technologies Corporation,Canada
Carpathian Gold Inc.,Canada
Cascades Inc.,Canada
Cash Store Financial Services Inc.,Canada
Catalyst Paper Corporation,Canada
Catamaran Corporation,USA
Cathedral Energy Services Ltd,Canada
Caza Oil & Gas Inc.,USA
CCL Industries Inc.,Canada
Celestica Inc.,Canada
Cenovus Energy Inc,Canada
Centamin plc,UK/Europe
Centerra Gold Inc.,Canada
Central Fund of Canada Limited,Canada
Central GoldTrust,Canada
Centric Health Corporation,Canada
Century Iron Mines Corporation,Canada
Cequence Energy Ltd.,Canada
Ceres Global Ag Corp.,Canada
Cerro Grande Mining Corporation,Canada
Cervus Equipment Corporation,Canada
CGI Group Inc.,Canada
Chalice Gold Mines Limited,Australia/NZ/PNG
Champion Iron Mines Limited,Canada
Chaparral Gold Corp.,USA
Chartwell Retirement Residences Real Estate Investment Trust,Canada
Chemtrade Logistics Income Fund,Canada
Chesswood Group Limited,Canada
Chieftain Metals Corp.,Canada
China Gold International Resources Corp Ltd,China/Asia
Chinook Energy Inc.,Canada
Choice Properties Real Estate Investment Trust,Canada
Chorus Aviation Inc.,Canada
Churchill Corporation (The),Canada
CI Financial Corp,Canada
CI Master Limited Partnership,Canada
CIBT Education Group Inc.,Canada
Cineplex Inc.,Canada
Cipher Pharmaceuticals Inc.,Canada
Citadel Income Fund,Canada
Clairvest Group Inc.,Canada
Clarke Inc.,Canada
Claude Resources Inc.,Canada
Clearwater Seafoods Incorporated,Canada
ClubLink Enterprises Limited,Canada
CNOOC Limited,China/Asia
Coalspur Mines Limited,Australia/NZ/PNG
Coast Wholesale Appliances Inc.,Canada
Coastal Contacts Inc.,Canada
Coastal Energy Company,USA
"Coeur Mining, Inc.",USA
Cogeco Cable Inc.,Canada
Cogeco Inc.,Canada
Colabor Group Inc.,Canada
Colossus Minerals Inc.,Canada
COM DEV International Ltd.,Canada
Cominar Real Estate Investment Trust,Canada
