Name,Country
Atoro Capital Corp,Canada
Augusta Industries Inc,Canada
Augyva Mining Resources Inc.,Canada
Aumento Capital II Corporation,Canada
Aumento Capital IV Corporation,Canada
Aura Silver Resources Inc,Canada
Auracle Resources Ltd,Canada
Auramex Resource Corp.,Canada
Aurania Resources Ltd.,Canada
Aurcana Corporation,Canada
AurCrest Gold Inc,Canada
Aurgent Gold Corp.,Canada
Auriga Gold Corp,Canada
Aurinia Pharmaceuticals Inc.,Canada
Aurion Resources Ltd,Canada
Aurora Spine Corporation,USA
Aurvista Gold Corporation,Canada
Auryn Resources Inc.,Canada
AusTex Oil Limited,Australia/NZ/PNG
Avagenesis Corp.,Canada
Avala Resources Ltd,Canada
Avante Logixx Inc,Canada
Avanti Energy Inc.,Canada
Avanti Mining Inc,USA
Aveda Transportation and Energy Services Inc,Canada
Avidus Management Group Inc.,Canada
Avino Silver & Gold Mines Ltd.,Canada
Avivagen Inc.,Canada
Avrupa Minerals Ltd,Canada
AXE Exploration Inc.,Canada
AXMIN Inc.,Canada
Azabache Energy Inc,Canada
Azimut Exploration Inc.,Canada
Azincourt Uranium Inc.,Canada
Azul Ventures Inc,Canada
Azure Resources Corporation,Canada
Bacanora Minerals Ltd,Canada
Baikal Forest Corp,China/Asia
Bama Gold Corp,Canada
Bandera Gold Ltd.,Canada
Banks Island Gold Ltd,Canada
Banyan Gold Corp.,Canada
Bard Ventures Ltd.,Canada
Barisan Gold Corporation,Canada
Barker Minerals Ltd.,Canada
Barkerville Gold Mines Ltd,Canada
Baroyeca Gold & Silver Inc,Canada
Batero Gold Corp,Canada
Bayfield Ventures Corp.,Canada
Bayhorse Silver Inc.,Canada
Bayshore Petroleum Corp.,Canada
Bayswater Uranium Corporation,Canada
BCGold Corp,Canada
BCM Resources Corporation,Canada
Be Resources Inc,USA
Bear Creek Mining Corporation,Canada
Bear Lake Gold Ltd,Canada
Bearclaw Capital Corp.,Canada
Bearing Resources Ltd,Canada
Beaufield Resources Inc.,Canada
Beaumont Select Corporations Inc.,Canada
Bell Copper Corporation,Canada
Bellhaven Copper & Gold Inc.,Canada
Belmont Resources Inc.,Canada
Belvedere Resources Ltd.,Canada
Benton Capital Corp,Canada
Benton Resources Inc,Canada
Benz Capital Corp,Canada
Berkwood Resources Ltd,Canada
Bethpage Capital Corp,Canada
Bevo Agro Inc.,Canada
BFS Entertainment & Multimedia Limited,Canada
BHK Resources Inc.,Canada
Big North Graphite Corp,Canada
Big Sky Petroleum Corporation,USA
biOasis Technologies Inc,Canada
bioMmune Technologies Inc.,Canada
Biorem Inc.,Canada
BioSign Technologies Inc,Canada
Biosyent Inc.,Canada
Birch Hill Gold Corp.,Canada
Birch Lake Energy Inc,Canada
Bison Gold Resources Inc,Canada
Bitterroot Resources Ltd.,Canada
Black Birch Capital Acquisition III Corp.,Canada
Black Isle Resources Corporation,Canada
Black Panther Mining Corp,Canada
Black Sparrow Capital Corp,Canada
Black Springs Capital Corp,Canada
Black Widow Resources Inc.,Canada
Blackbird Energy Inc,Canada
Blackdog Resources Ltd.,Canada
Blackhawk Resource Corp,Canada
Blackheath Resources Inc,Canada
Blackline GPS Corp,Canada
Blacksteel Energy Inc,Canada
Blackstone Ventures Inc.,Canada
BLF Real Estate Investment Trust,Canada
Blind Creek Resources Ltd,Canada
Blue River Resources Ltd,Canada
Blue Sky Uranium Corp,Canada
Bluedrop Performance Learning Inc,Canada
Bluefire Mining Corp.,Canada
BlueRush Media Group Corp,Canada
Bluestone Resources Inc,Canada
BluMetric Environmental Inc.,Canada
BNP Resources Inc,Canada
Bold Stroke Ventures Inc,Canada
Bold Ventures Inc,Canada
Bonaparte Resources Inc,Canada
Bonterra Resources Inc,Canada
Boost Capital Corp,Canada
Border Petroleum Corp,Canada
Boss Power Corp,Canada
Bowmore Exploration Ltd,Canada
Boxxer Gold Corp.,Canada
Brades Resource Corp.,Canada
Bralorne Gold Mines Ltd.,Canada
Branco Resources Ltd.,Canada
Brand Marvel Worldwide Consumer Products Corporation,China/Asia
Brandenburg Energy Corp,Canada
Bravada Gold Corporation,Canada
Bravura Ventures Corp,Canada
Brazil Resources Inc.,Canada
Brigadier Gold Limited,Canada
BrightPath Early Learning Inc.,Canada
Brilliant Resources Inc,Canada
Brionor Resources Inc,Canada
British Controlled Oilfields Limited,Canada
Brixton Energy Corp,Canada
Brixton Metals Corporation,Canada
Brookemont Capital Inc,Canada
Brookfield Investments Corporation,Canada
Brookwater Ventures Inc,Canada
Broome Capital Inc.,Canada
Brownstone Energy Inc,Canada
BRS Resources Ltd,USA
BSM Technologies Inc.,Canada
Buccaneer Gold Corp,Canada
Builders Capital Mortgage Corp.,Canada
Bullion Gold Resources Corp.,Canada
Bullman Minerals Inc.,Canada
Burnstone Ventures Inc,Canada
Butte Energy Inc,Canada
Cabo Drilling Corp.,Canada
Cache Exploration Inc,Canada
Cadan Resources Corporation,Canada
Cadillac Mining Corporation,Canada
Cadillac Ventures Inc,Canada
Cairo Resources Ltd,Canada
CaiTerra International Energy Corporation,Canada
Calibre Mining Corp,Canada
Calico Resources Corp,Canada
California Gold Mining Inc.,Canada
California Nanotechnologies Corp,USA
Callinan Royalties Corporation,Canada
Callinex Mines Inc,Canada
Calyx Bio-Ventures Inc,Canada
Camino Minerals Corporation,Canada
Cana Venture Capital Corp,Canada
Canada Carbon Inc.,Canada
Canada Coal Inc,Canada
Canada Energy Partners Inc,Canada
Canada Fluorspar Inc,Canada
Canada Rare Earth Corp.,Canada
Canada Strategic Metals Inc,Canada
Canada Zinc Metals Corp.,Canada
Canadian Arrow Mines Limited,Canada
Canadian Equipment Rental Fund Limited Partnership,Canada
Canadian Imperial Venture Corp.,Canada
Canadian International Minerals Inc,Canada
Canadian Mining Company Inc,Canada
Canadian Oil Recovery & Remediation Enterprises Ltd.,Canada
Canadian Oilfield Solutions Corp.,Canada
Canadian Orebodies Inc,Canada
Canadian Overseas Petroleum Limited,Canada
Canadian Platinum Corp,Canada
Canadian Quantum Energy Corporation,Canada
Canadian Silver Hunter Inc,Canada
Canadian Spirit Resources Inc.,Canada
CanaDream Corporation,Canada
Canaf Group Inc,Canada
Canalaska Uranium Ltd.,Canada
CanAm Coal Corp,Canada
Canamex Resources Corp.,Canada
CanAsia Financial Inc,China/Asia
Canasil Resources Inc.,Canada
Cancana Resources Corp,Canada
Cangold Limited,Canada
Cannon Point Resources Ltd,Canada
Canoe Mining Ventures Corp.,Canada
Canoel International Energy Ltd,Canada
Canstar Resources Inc,Canada
Canterra Minerals Corporation,Canada
Cantex Mine Development Corp.,Canada
Canuc Resources Corporation,Canada
Canyon Copper Corp,Canada
Canyon Creek Food Company Ltd.,Canada
Cap-Ex Iron Ore Ltd.,Canada
CapGain Properties Inc.,USA
Capital DGMC Inc,Canada
Capstream Ventures Inc,Canada
Caracara Silver Inc,Canada
Cardiff Energy Corp,Canada
CardioComm Solutions Inc.,Canada
Cariboo Rose Resources Ltd.,Canada
Caribou King Resources Ltd,Canada
Carlin Gold Corporation,Canada
Carmax Mining Corp.,Canada
Carolina Capital Corp,Canada
Carrie Arran Resources Inc,Canada
Carrus Capital Corporation,Canada
Cartier Resources Inc,Canada
Cascade Resources Ltd,Canada
Cascadero Copper Corporation,Canada
Cascadia Resources Inc,Canada
Cassidy Gold Corp.,Canada
Cassius Ventures Ltd,Canada
Castle Mountain Mining Company Limited,Canada
Castle Peak Mining Ltd,Canada
Castle Resources Inc,Canada
Catalyst Copper Corp,Canada
Cava Resources Inc,Canada
Cavan Ventures Inc,Canada
Cayden Resources Inc,Canada
Caymus Resources Inc,Canada
Caza Gold Corp,Canada
CB Gold Inc,Canada
CBM Asia Development Corp,Canada
C-Com Satellite Systems Inc.,Canada
CCT Capital Ltd,Canada
Ceapro Inc.,Canada
Ceiba Energy Services Inc.,Canada
Celeste Mining Corp.,Canada
Cematrix Corporation,Canada
Cencotech Inc.,Canada
Central Iron Ore Limited,Canada
Central Resources Corp,Canada
Centurion Minerals Ltd.,Canada
Century Energy Ltd.,USA
Cerro Mining Corp,Canada
CGX Energy Inc.,Canada
Challenger Deep Resources Corp.,Canada
Champion Bear Resources Ltd.,Canada
Changfeng Energy Inc,China/Asia
Channel Resources Ltd.,Canada
CHC Realty Capital Corp.,Canada
Chesapeake Gold Corp.,Canada
Chibougamau Independent Mines Inc.,Canada
Chimata Gold Corp,Canada
China Education Resources Inc.,China/Asia
China Health Labs & Diagnostics Ltd.,China/Asia
China Keli Electric Company Ltd,China/Asia
China Minerals Mining Corporation,China/Asia
China Wind Power International Corp,China/Asia
Chinapintza Mining Corp.,Canada
Chlormet Technologies Inc.,Canada
Cicada Ventures Ltd,Canada
Cinaport Acquisition Corp,Canada
Circa Enterprises Inc,Canada
Citation Resources Inc,Canada
Claim Post Resources Inc,Canada
Clean Seed Capital Group Ltd,Canada
Clear Mountain Resources Corp,Canada
Clearford Industries Inc.,Canada
Clemex Technologies Inc.,Canada
Cliffmont Resources Ltd,Canada
Clifton Star Resources Inc.,Canada
CMC Metals Ltd.,Canada
CMQ Resources Inc.,Canada
CO2 Solutions Inc.,Canada
Coastal Gold Corp.,Canada
Cobalt Coal Ltd.,Canada
Cobra Venture Corporation,Canada
Codrington Resource Corporation,Canada
Cogitore Resources Inc,Canada
Colibri Resource Corporation,Canada
Colombia Crest Gold Corp,Canada
Colombian Mines Corporation,Canada
Colonial Coal International Corp.,Canada
Colorado Resources Ltd,Canada
Colt Resources Inc,Canada
Columbia Yukon Explorations Inc.,Canada
Columbus Copper Corporation,Canada
Columbus Energy Limited,Canada
Columbus Exploration Corporation,Canada
Columbus Gold Corporation,Canada
Comet Industries Ltd.,Canada
Commander Resources Ltd.,Canada
Commerce Resources Corp.,Canada
