Company,Country
Reef 2007 2009 Drilling Program,US
Sustainable Environmental Technologies Corp,US
EOG RESOURCES INC,US
EARTHSTONE ENERGY INC,US
Rockies Region 2006 Limited Partnership,US
Advanced Cannabis Solutions Inc,US
BARNWELL INDUSTRIES INC,US
DEVON ENERGY CORP,US
Eco Stim Energy Solutions Inc,US
Reef Global Energy III LP,US
ANADARKO PETROLEUM CORP,US
Nuverra Environmental Solutions Inc,US
EXCO RESOURCES INC,US
NABORS HOLDING CO,US
UNION OIL CO OF CALIFORNIA,US
UNOCAL CORP,US
PENNZOIL QUAKER STATE CO,US
PREMIER OIL FIELD SERVICES INC,US
CGG AMERICAS INC,US
BLUM PETER H,US
Windsor Energy Resources Inc,US
Hubei Minkang Pharmaceutical Ltd,US
FULL MOON UNIVERSE INC,US
CALDERA CORP,US
TODCO,US
MEWBOURNE ENERGY PARTNERS 08 A LP,US
T 3 ENERGY SERVICES INC,US
NORTHERN OIL & GAS INC,US
US ENERGY CORP,US
Galt Petroleum Inc,US
UNITED REFINING CO,US
RAAM Global Energy Co,US
Vantage Energy Inc,US
BLUE DOLPHIN ENERGY CO,US
OAKRIDGE ENERGY INC,US
STATMON TECHNOLOGIES CORP,US
KEY ENERGY SERVICES INC,US
Oiltek Inc,US
NATIONAL OILWELL VARCO INC,US
TERAX ENERGY INC,US
Find the World Interactive Inc,US
Hiland Holdings GP LP,US
SEITEL SOLUTIONS LTD,US
MATRIXX RESOURCE HOLDINGS INC,US
SI HOLDINGS G.P.,US
WETTSTEIN WIELAND,US
CALLAGHAN KEVIN P,US
ENERNORTH INDUSTRIES INC,CA
SENTRY PETROLEUM LTD,US
Stallion Oilfield Services Inc,US
ENERGY CORP OF AMERICA,US
MORGAN BEAUMONT INC,US
PROPERNYN BV,VE
PDV AMERICA INC,US
Royal Dutch Shell plc,GB
Frontier Refining Inc,US
Frontier Pipeline Inc,US
Frontier Oil & Refining CO,US
SEACOAST OIL & GAS INC,US
TREASURE ISLAND ROYALTY TRUST,US
Alta Mesa Holdings LP,US
LEGACY RESERVES LP,US
Petrobras Argentina SA,AR
PDC 2005 B Limited Partnership,US
PDC 2005 A Limited Partnership,US
Gulf Coast Ultra Deep Royalty Trust,US
Athlon Energy Inc,US
STANDARD PRODUCTION WELLS CORP,US
COLUMBUS ACQUISITION CORP,US
United American Petroleum Corp,US
MAGNUM HUNTER RESOURCES INC,US
GLOBALSANTAFE CORP,US
POWDER RIVER PETROLEUM INTERNATIONAL INC,US
LOCH HARRIS INC,US
HARVEST ENERGY TRUST,CA
Jayhawk Energy Inc,US
EDWARDS S EUGENE,US
EQUITABLE RESOURCES INC,US
Parsley Energy Inc,US
Delta International Oil & Gas Inc,US
CANADIAN NATURAL RESOURCES LTD,CA
WEATHERFORD INTERNATIONAL LLC,US
MISSION RESOURCES CORP,US
Challenger Energy Corp,CA
REEF GLOBAL ENERGY II LP,US
PACIFIC ENERGY PARTNERS LP,US
RING ENERGY INC,US
EURASIA ENERGY LTD,US
PATTERSON UTI ENERGY INC,US
NORTH EUROPEAN OIL ROYALTY TRUST,US
LINK ENERGY LLC,US
Stone Energy Offshore LLC,US
Memorial Resource Development Corp,US
Native American Energy Group Inc,US
TORCHLIGHT ENERGY RESOURCES INC,US
FALCON OIL & GAS CO INC,US
Warrior Energy Services CORP,US
TERRA NOSTRA TECHNOLOGY LTD,US
REX ENERGY CORP,US
COGNIGEN NETWORKS INC,US
PANACO INC,US
Future Quest Nevada Inc,US
Dejour Energy Inc,CA
Eagle Ford Oil & Gas Corp,US
Maxum Petroleum Holdings Inc,US
VOC Energy Trust,US
STRATA OIL & GAS INC,CA
Conquest Petroleum Inc,US
U.S. Well Services LLC,US
QUESTAR CORP,US
SANTA MARIA ENERGY CORP,US
UNIOIL,US
EPOD International Inc,US
TIDELANDS OIL & GAS CORP,US
CYBERTEX ENTERPRISES INC,US
New Source Energy Corp,US
PATCH INTERNATIONAL INC,US
DALECO RESOURCES CORP,US
Luca Technologies Inc,US
Atlas Resources Series 28 2010 LP,US
GULF EXPLORATION CONSULTANTS INC,US
CHESAPEAKE ACQUISITION LLC,US
INFINITY ENERGY RESOURCES INC,LR
Giant Industries Inc,US
Knight Energy Corp,US
Armada Oil Inc,US
Rocketinfo Inc,US
PROVIDENCE RESOURCES INC,US
FISHER JOHN BRADLEY,US
TRAHAN KENDALL A,US
GeoMet Inc,US
CLX ENERGY INC,US
DIAMOND OFFSHORE DRILLING INC,US
ParaFin CORP,US
Atlas Resources Public #16 2007 (A) LP,US
OKLAHOMA ENERGY CORP,US
CENTRAL CAPITAL VENTURE CORP,US
INTREPID TECHNOLOGY & RESOURCE INC,US
SPARTA COMMERCIAL SERVICES INC,US
Forbes Energy Services Ltd,BM
BPZ RESOURCES INC,US
GOLDEN PATRIOT CORP,US
CLAYTON WILLIAMS ENERGY INC,US
BELDEN & BLAKE CORP,US
AURELIA ENERGY N V,AN
PRIDE INTERNATIONAL INC,US
STANDARD ENERGY CORP,US
Starboard Resources Inc,US
Atlas America Series 26 2005 LP,US
CANTON OIL & GAS CO,US
Baron Energy Inc,US
SANDRIDGE ENERGY INC,US
MOUNTAINS WEST EXPLORATION INC,US
REGENT TECHNOLOGIES INC,US
ICON Oil & Gas Fund,US
CUBIC ENERGY INC,US
TOTAL CAPITAL,FR
IMPERIAL PETROLEUM RECOVERY CORP,US
HELMERICH & PAYNE INC,US
ATLAS AMERICA SERIES 25 2004 (B) LP,US
Callon Offshore Production Inc,US
Callon Petroleum Operating CO,US
MAGNUM HUNTER RESOURCES CORP,US
Kosmos Energy Ltd,BM
Atlas America Public #15 2005 (A) LP,US
Abraxas Petroleum Corp 401(K) Profit Sharing Plan,US
AMERICAN OIL & GAS INC,US
WHITING PETROLEUM CORP,US
Kodiak Oil & Gas Corp,CA
BROWN TOM INC,US
Regency Energy Partners LP,US
EFLO ENERGY INC,US
CROSS CANYON ENERGY CORP,US
LINN ENERGY LLC,US
Pinnacle Gas Resources Inc,US
HALO RESOURCES LTD,NULL
TORRENT ENERGY CORP,US
PostRock Energy Corp,US
PRIMEENERGY CORP,US
Recon Technology Ltd,KY
FOX PETROLEUM INC,US
BP CAPITAL MARKETS AMERICA INC,US
CHEVRON CORP,US
BP CANADA FINANCE CO,US
Weatherford International Ltd/Switzerland,CH
CHESAPEAKE GRANITE WASH TRUST,US
PDC 2003 B LP,US
PDC 2003 C LP,US
PDC 2003 A LP,US
PDC 2003 D LP,US
BRINX RESOURCES LTD,US
SIMEX TECHNOLOGIES INC,US
Perpetual Energy Inc,CA
Earth Energy Reserves Inc,US
PDC 2002 C LTD PARTNERSHIP,US
PDC 2002 B LTD PARTNERSHIP,US
PDC 2002 D LTD PARTNERSHIP,US
W&T OFFSHORE INC,US
PETROSEARCH ENERGY CORP,US
Surge Global Energy Inc,US
PARTICLE DRILLING TECHNOLOGIES INC,US
Memorial Production Partners LP,US
W H ENERGY SERVICES INC,US
Reef Global Energy Ventures II,US
Antero Resources Finance Corp,US
RPC INC,US
ENVIRONMENTAL PROCEDURES INC,US
AMERICAN ENERGY PRODUCTION INC,US
SOUTHWEST ROYALTIES INSTITUTIONAL INCOME FUND IX B LP,US
Independence Energy Corp,US
SOUTHWEST OIL & GAS INCOME FUND IX A LP,US
HORIZON OFFSHORE INC,US
KERR MCGEE ROCKY MOUNTAIN CORP,US
ENCANA CORP,CA
RICH COAST INC,US
AMERIGO ENERGY INC,US
NABORS INDUSTRIES LTD,BM
OFFSHORE GROUP INVESTMENT Ltd,KY
Ocean Rig UDW Inc,MT
1115638 ALBERTA LTD,CA
HARVEST BREEZE TRUST NO. 2,CA
HARVEST SASK ENERGY TRUST,CA
BREEZE RESOURCES PARTNERSHIP,CA
HARVEST BREEZE TRUST NO. 1,CA
CHESAPEAKE ENERGY LOUISIANA CORP,US
CHESAPEAKE LOUISIANA LP,US
REDEARTH ENERGY INC,CA
SMEDVIG ASA,NO
ARC RESOURCES LTD,CA
FRIEDE GOLDMAN HALTER INC,US
Ocean Rig Partners LP,MH
BELAIR ENERGY CORP,CA
CANO PETROLEUM INC,US
ENERGEN CORP,US
ATLAS ENERGY FOR THE NINETIES PUBLIC NO 7 LTD,US
AUSTRALIAN OIL & GAS CORP,US
CHESAPEAKE OILFIELD SERVICES INC,US
Brenham Oil & Gas Corp,US
TAMM Oil & Gas Corp,US
ANDERSON ENERGY LTD,CA
APCO OIL & GAS INTERNATIONAL INC,US
SUNCOR ENERGY INC,CA
SYNTHESIS ENERGY SYSTEMS INC,US
GREAT LAKES CARBON CORP,US
Bonanza Creek Energy Inc,US
New Century Energy Corp,US
BJ SERVICES CO,US
AuraSource Inc,US
CENOVUS ENERGY INC,CA
PETRO CANADA,CA
Crusader Energy Group Inc,US
Richland Resources Corp,US
Noble Corp plc,GB
EUROGAS INC,US
MDS ENERGY PUBLIC 2014 A LP,US
Cinco Resources Inc,US
Atlas Energy Resources LLC,US
CAMBRIDGE ENERGY CORP,US
Alon Israel Oil Co Ltd,IL
SOUTHWEST ROYALTIES INSTITUTIONAL INCOME FUND VIII B L P,US
SOUTHWEST OIL & GAS INCOME FUND VIII A L P,US
CHESAPEAKE OPERATING INC,US
Total Capital International,FR
MIE Holdings Corp,KY
XTX ENERGY INC,US
Enservco Corp,US
SARA CREEK GOLD CORP,US
NCE ACQUISITION INC,US
CHEVRON USA INC,US
Quest Energy Partners LP,US
HollyFrontier Corp,US
Eagleford Energy Inc,CA
SWIFT ENERGY CO,US
World Point Terminals LP,US
Independence Resources PLC,GB
HUSKY ENERGY INC,CA
Alon USA Partners LP,US
SMITH INTERNATIONAL INC,US
RAMBO MEDICAL GROUP INC,US
EL PASO ENERGY MANAGEMENT LLC,US
NORSK HYDRO A S A,NO
RTS Oil Holdings Inc,US
TRANSOCEAN INC,KY
LERNER WILLIAM,US
Voyager Petroleum Inc,US
KERR MCGEE CHEMICAL WORLDWIDE LLC,US
Ridgewood Energy M Fund LLC,US
Rio Bravo Oil Inc,US
Century Petroleum Corp,US
TOREADOR RESOURCES CORP,US
3EEE INC,US
Vanguard Energy Corp,US
SOUTHWEST ROYALTIES INSTITUTIONAL INCOME FUND X B LP,US
SOUTHWEST ROYALTIES INSTITUTIONAL INCOME FUND X A LP,US
SONDE RESOURCES CORP,CA
OPTI CANADA INC,CA
EQUITY OIL CO,US
MILLER DAVID ARTHUR,US
MILLER DANIEL R,US
HAWKER RESOURCES INC,CA
WHITING OIL & GAS CORP,US
CO & PA 1999D Limited Partnership,US
WISER OIL CO,US
CASTLEGUARD ENERGY INC,US
DENTAL PATIENT CARE AMERICA INC,US
Energy 11 LP,US
GLOBAL ONLINE INDIA INC,US
Sun Motor International Inc,US
DRUCKER INC,US
GREAT NORTHERN GAS CO,US
CAIRN ENERGY USA INC,US
LYONDELL CHEMICAL NEDERLAND LTD,US
PREMCOR REFINING GROUP INC,US
PACIFIC DRILLING SA,LU
PENN VIRGINIA CORP,US
Stewart & Stevenson LLC,US
CASTLE ENERGY CORP,US
GRAN TIERRA ENERGY INC,US
American Environmental Energy Inc,US
Dynamic Offshore Resources Inc,US
Remington Energy Group Corp,US
MASS Petroleum Inc,CA
BAYOU CITY EXPLORATION INC,US
New GulfMark Offshore Inc,US
CIMAREX ENERGY CO,US
American Oil & Gas Inc,US
CHEVRON PHILLIPS CHEMICAL CO LLC,US
SEITEL INC,US
MILLER EXPLORATION CO,US
Westpoint Energy Inc,US
BG GROUP PLC,GB
GSV INC,US
ATLAS AMERICA SERIES 25 2004 (A) LP,US
Vantage Drilling CO,KY
EVERFLOW EASTERN PARTNERS LP,US
DI ENERGY INC,US
CHINA YILI PETROLEUM CO,US
MEWBOURNE ENERGY PARTNERS 03 A LP,US
WESTRANGE CORP,CA
PRECISION DRILLING Corp,CA
PEMEX GAS & BASIC PETROCHEMICALS,MX
Ensco plc,GB
PEMEX EXPLORATION & PRODUCTION,MX
MEXICAN PETROLEUM,MX
CROSSTEX ENERGY INC,US
FUELS INC,US
CROWN ENERGY CORP,US
GEODYNE ENERGY INCOME LTD PARTNERSHIP I E,US
EL CAPITAN PRECIOUS METALS INC,US
ENDEAVOUR INTERNATIONAL CORP,US
CONSOLIDATED OIL & GAS INC,US
THREE FORKS INC,US
EVOLUTION PETROLEUM CORP,US
JOVIAN ENERGY INC,US
VADDA ENERGY CORP,US
OSLO EXPLORER PLC,NO
PGS Geophysical AS,US
Stratex Oil & Gas Holdings Inc,US
MICRON ENVIRO SYSTEMS INC,US
CROSS BORDER RESOURCES INC,US
GOODRICH PETROLEUM CORP,US
Orient Petroleum & Energy Inc,CA
GEODYNE ENERGY INCOME LTD PARTNERSHIP III C,US
GEODYNE INSTITUTIONAL PENSION ENERGY INCOME LP P 5,US
PANTERA PETROLEUM INC,US
OXY USA INC,US
FX ENERGY INC,US
MEWBOURNE ENERGY PARTNERS 02 A LP,US
ROCKFORD OIL CORP,US
CENTRAL ENERGY PARTNERS LP,US
LOCAL TELECOM SYSTEMS INC,US
ORION ACQUISITION INC,US
WESTBRIDGE ENERGY CORP,CA
UNION DRILLING INC,US
Ridgewood Energy W Fund LLC,US
Southfield Energy CORP,US
PERMIAN BASIN ROYALTY TRUST,US
SAN JUAN BASIN ROYALTY TRUST,US
GALAXY ENERGY CORP,US
MARKWEST ENERGY PARTNERS L P,US
Black Rock Petroleum Co,US
Mogul Energy International Inc,US
Bellatrix Exploration Ltd,CA
Mississippi Marketing Inc,US
Rice Midstream Partners LP,US
ISRAMCO INC,US
Phillips 66,US
PATINA OIL & GAS CORP,US
PRESTIGE CAPITAL CORP,US
KERR MCGEE CORP,US
Minerco Resources Inc,US
GRANT PRIDECO INC,US
Reef Oil & Gas Income & Development Fund III LP,US
Altona Resources Inc,US
Consolidation Services Inc,US
GEOCOM RESOURCES INC,US
Rockies Region Private LP,US
BAYTEX ENERGY CORP,CA
COHO ENERGY INC,US
RIDGEWOOD ENERGY A 1 FUND LLC,US
Weatherford International Ltd,IE
CANADA SOUTHERN PETROLEUM LTD,US
EV Energy Partners LP,US
TENGASCO INC,US
EP Energy Corp,US
STROUD ENERGY INC,US
CONTINENTAL ENERGY Corp,CA
Ridgewood Energy P Fund LLC,US
Laredo Oil Inc,US
SAUER ENERGY INC,US
Vanguard Natural Resources LLC,US
GULFTERRA ENERGY PARTNERS L P,US
DTVN HOLDINGS INC,US
BLACKSANDS PETROLEUM INC,US
SOUTHERN STAR ENERGY INC,US
CHENIERE GRYPHON MANAGEMENT INC,US
Enduro Resource Partners LLC,US
CIBOLA ENERGY CORP,US
NESS ENERGY INTERNATIONAL INC,US
CHINA PETROLEUM & CHEMICAL CORP,NULL
ATLANTIC RICHFIELD CO,US
ATP OIL & GAS CORP,US
XCL LTD,US
PENN PACIFIC CORP,US
SHELL CANADA LTD,CA
West Texas Resources Inc,US
COLORADO WYOMING RESERVE CO,US
SHARON ENERGY LTD,US
Compton Petroleum Finance CORP,CA
OCEANIC EXPLORATION CO,US
OCEANEERING INTERNATIONAL INC,US
NOXSO CORP,US
TRANSOCEAN OFFSHORE INC,US
VAALCO ENERGY INC,US
NUEVO ENERGY CO,US
Lehigh Gas Partners LP,US
RESOURCE AMERICA INC,US
RESERVE PETROLEUM CO,US
INTEROIL CORP,US
Zodiac Exploration Corp,CA
Arc Logistics Partners LP,US
IVANHOE ENERGY INC,CA
MONDIAL VENTURES INC,US
ENTERPRISE PRODUCTS OPERATING L P,US
Rowan Companies Inc,US
PARALLEL PETROLEUM CORP,US
Avalon Oil & Gas Inc,US
ABRAXAS PETROLEUM CORP,US
Alon Refining Krotz Springs Inc,US
FORTUNE OIL & GAS INC,US
GREY WOLF INTERNATIONAL INC,US
GLOBAL MARINE INC,US
KANEB PIPE LINE PARTNERS L P,US
TETRA TECHNOLOGIES INC,US
HARGETT WILLIAM G,US
North Atlantic Drilling Ltd,BM
OCEAN RIG NORWAY AS,NO
OCEAN RIG ASA,NO
FMC TECHNOLOGIES INC,US
NEXT FUEL INC,US
APACHE OFFSHORE INVESTMENT PARTNERSHIP,US
Sokol Energy Corp,US
OCEAN RIG 2 AS,NO
OCEAN RIG 1 AS,NO
Spirit Exploration Inc,US
CANARGO ENERGY CORP,US
ZULU ENERGY CORP,US
FRIENDLY ENERGY EXPLORATION,US
SMF Energy Liquidating Trust,US
LUKE ENERGY LTD,CA
Sanchez Energy Corp,US
GENTRY RESOURCES LTD,CA
AMES CO LLC,US
Ridgewood Energy U Fund LLC,US
MARINER ENERGY INC,US
SKY PETROLEUM INC,US
REFINERY SCIENCE CORP,US
Reef Global Energy VIII LP,US
GREY WOLF INC,US
La Cortez Energy Inc,US
SOUTHWESTERN ENERGY CO,US
HELIX ENERGY SOLUTIONS GROUP INC,US
TRANSMERIDIAN EXPLORATION INC,US
RSP Permian Inc,US
Mid Con Energy Partners LP,US
SIERRA INTERNATIONAL GROUP INC,US
Western Refining Inc,US
CASS M L PETROLEUM CORP,CA
FRONTIER OIL CORP,US
CENTRAL UTILITIES PRODUCTION CORP,US
BRIGHAM EXPLORATION CO,US
TORCH ENERGY ROYALTY TRUST,US
TIPPERARY CORP,US
HINTO ENERGY INC,US
TRI UNION DEVELOPMENT CORP,US
WATCH RESOURCES LTD,CA
Royal Energy Resources Inc,US
COIL TUBING TECHNOLOGY INC,US
SHARPE RESOURCES CORP,US
SUBSEA 7 SA,LU
GNC ENERGY CORP,US
Crown Oil & Gas Inc,US
CNX Gas Corp,US
American Energy Development Corp,US
BURLINGTON RESOURCES INC,US
AVENUE GROUP INC,US
ROCHESTER RESOURCES LTD,CA
Eastern 1997D Limited Partnership,US
Atlas Resources Public #18 2008 Program,US
DEVON ENERGY CORP,US
DYNEGY ENERGY PARTNERS LP,US
SandRidge Mississippian Trust II,US
LILLY PETER B,US
CAPITAL RESERVE CANADA LTD,CA
CGG,FR
HERCULES OFFSHORE INC,US
GLOBAL INDUSTRIES LTD,US
HEROES INC,US
CONNECT GAS PIPELINE LLC,US
CONOCOPHILLIPS CO,US
VINEYARD OIL & GAS CO,US
MARATHON OIL CO,US
PVR MIDSTREAM LLC,US
RICHFIELD OIL & GAS Co,US
PVR FINCO LLC,US
DULCET ACQUISITION LLC,US
TONEY FORK LLC,US
DORCHESTER HUGOTON LTD,US
STERLING GAS DRILLING FUND 1982,US
Siberian Energy Group Inc,US
Resaca Exploitation Inc,US
Cal Dive International Inc,US
Gibson Energy ULC,CA
PGI ENERGY FUND I SERIES 2010INC,US
Gulf United Energy Inc,US
OXY CAPITAL TRUST I,US
ARGONAUT ENERGY CORP,US
PUTNAM INCOME FUND,US
WARREN RESOURCES INC,US
PREMCOR USA INC,US
Cobalt International Energy Inc,US
West Core Drilling Inc,US
PRC WILLISTON LLC,US
Susser Petroleum Partners LP,US
CROSSTEX ENERGY LP,US
ATLAS AMERICA PUBLIC #10 LTD,US
EXXON CAPITAL CORP,US
PROTEC INDUSTRIES INC,US
STANTON DAVID,US
IAS ENERGY INC,US
HARVEST NATURAL RESOURCES INC,US
TRIDENT RESOURCES CORP,CA
DENBURY RESOURCES INC,US
CAMAC Energy Inc,US
Sterling Oil & Gas CO,US
Atlas Resources Public #17 2007 (A) LP,US
Atlas Resources Public #17 2008 (B) LP,US
Atlas Resources Public #17 2007 Program,US
SYNTROLEUM CORP,US
WHITTIER ENERGY CORP,US
Deep Down Inc,US
FORCE FUELS INC,US
PBF Holding Co LLC,US
Atlas Pipeline Holdings LP,US
Green Field Energy Services Inc,US
KANEB SERVICES LLC,US
CHESAPEAKE OILFIELD OPERATING LLC,US
Mercantile Resources Ltd,US
GEODYNE INSTITUTIONAL PENSION ENERGY INC LTD PARTNERSHIP P 3,US
GEODYNE ENERGY INCOME LTD PARTNERSHIP II H,US
RANGE RESOURCES CORP,US
Mewbourne Energy Partners 07 A LP,US
Samson Resources Corp,US
PBF Energy Inc,US
CVR ENERGY INC,US
SOUTHWEST ROYALTIES INC INCOME FUND V,US
Colorado Utah Natural Gas Inc,US
PACIFIC OIL Co,US
Pacific Coast Oil Trust,US
Wentworth Energy Inc,US
SPINDLETOP OIL & GAS CO,US
GEOKINETICS INC,US
TGC INDUSTRIES INC,US
Pacific Coast Energy Co LP,US
WILON RESOURCES INC,US
ARABIAN AMERICAN DEVELOPMENT CO,US
Cancana Reources Corp,CA
CKX LANDS INC,US
CHINA POWERSOFT TECHNOLOGIES INC,US
US NATURAL GAS CORP,US
TRANSOCEAN OIL INC,US
QGOG Constellation SA,LU
GENOIL INC,CA
AMERICAN INTERNATIONAL HOLDINGS CORP,US
3TEC ENERGY CORP,US
TETON ENERGY CORP,US
Cascade Wind Corp Inc,US
NEW GENERATION HOLDINGS INC,US
CANNABIS SCIENCE INC,US
MEDALLION CALIFORNIA PROPERTIES CO,US
GILLIAM D DUANE,US
PETROBRAS ENERGIA PARTICIPACIONES SA,AR
CONTANGO OIL & GAS CO,US
GMX RESOURCES INC,US
VARCO IP INC,US
FORTUNE NATURAL RESOURCES CORP,US
Atlas Resources Public #18 2008 (A) LP,US
Atlas Resources Public #18 2009 (B) LP,US
ENI SPA,IT
ALPHA PETROLEUM EXPLORATION CORP,US
Casablanca Mining Ltd,US
ROYAL DUTCH PETROLEUM CO,NL
EP Energy LLC,US
HK Energy Partners LP,US
CONCHO RESOURCES INC,US
VISTA EXPLORATION CORP,US
SemGroup Corp,US
Colorado 2002A Limited Partnership,US
VTTI Energy Partners LP,MH
PIONEER OIL & GAS,US
CHEVRON CAPITAL USA INC,US
COASTAL CARIBBEAN OILS & MINERALS LTD,BM
PARAGON OFFSHORE LTD,GB
MOKITA INC,US
CONTINENTAL FUELS INC,US
COMSTOCK INDUSTRIES INC,US
MURPHY OIL CORP,US
PVR GAS PIPELINE LLC,US
ARENA RESOURCES INC,US
P&H Mining Equipment Inc,US
Giant Resources Inc,CA
EXERGETIC ENERGY INC,US
Laredo Petroleum Inc,US
INLAND RESOURCES INC,US
AMHN Inc,US
SAExploration Holdings Inc,US
SD Co Inc,US
Esir1Inc.,US
LARGO VISTA GROUP LTD,US
IMPERIAL RESOURCES LLC,US
EAGLE GEOPHYSICAL INC,US
ARKANOVA ENERGY CORP,US
Uniontown Energy Inc,US
Andatee China Marine Fuel Services Corp,US
PYRAMID OIL CO,US
QUAKER CHEMICAL CORP,US
ATLAS AMERICA INC,US
Mesa Energy Inc,US
USA SUPERIOR ENERGY HOLDINGS INC,US
Explortex Energy Inc,US
GULFMARK OFFSHORE INC,US
Rock City Energy Corp,US
Energy & Exploration Partners Inc,US
SUPERIOR ENERGY SERVICES INC,US
TRACKER CORP OF AMERICA,US
OSLO SEISMIC SERVICES INC,US
PDC 2003 DRILLING PROGRAM,US
AMERICAN INTERNATIONAL PETROLEUM CORP,US
Regency Energy Finance CORP,US
CHINA ENERGY & CARBON BLACK HOLDINGS INC,US
TORCH OFFSHORE INC,US
Reef Oil & Gas Drilling & Income Fund LP,US
Annona Energy Inc,US
GEODYNE INSTITUTIONAL PENSION ENERGY INCOME LTD PTNSHIP P 4,US
GEODYNE ENERGY INCOME LTD PARTNERSHIP III A,US
RIDGEWOOD ENERGY Y FUND LLC,US
Alaska Pacific Energy Corp,US
Approach Resources Inc,US
United Refining Energy Corp,US
Chaparral Energy Inc,US
Mewbourne Energy Partners 06 A LP,US
NORTHERN OFFSHORE LTD,BM
DOVE ENERGY INC,CA
C2E ENERGY INC,US
GEODYNE ENERGY INCOME LTD PARTNERSHIP II G,US
CONTINENTAL RESOURCES INC,US
GLICKENHAUS & CO,US
OSAGE EXPLORATION & DEVELOPMENT INC,US
LONGWEI PETROLEUM INVESTMENT HOLDING LTD,US
JOHN D. OIL & GAS CO,US
CUSTOM RESTAURANT & HOSPITALITY GROUP INC,US
DCP MIDSTREAM LLC,US
TOTAL SA,FR
NATION ENERGY INC,US
TIDELANDS ROYALTY TRUST B,US
INTERNATIONAL FUEL TECHNOLOGY INC,US
NTR Acquisition Co,US
Samson Oil & Gas LTD,US
MARTIN MIDSTREAM PARTNERS LP,US
Saga Energy Inc,US
ERHC Energy Inc,US
Pioneer Southwest Energy Partners LP,US
Atlas Energy Operating Co LLC,US
APACHE CORP,US
HALLADOR PETROLEUM CO,US
BAYTEX ENERGY LTD,CA
Atlas America Public #14 2004 LP,US
Insight Medical Group Inc,US
ROBERTS GARETH,US
RYKHOEK PHIL,US
WORTHEY MARK,US
PYR ENERGY CORP,US
CALLON PETROLEUM CO,US
Ensco UK,GB
EPL OIL & GAS INC,US
Boots & Coots Inc,US
TRANS ENERGY INC,US
VALERO ENERGY CORP,US
WHOLEHEALTH PRODUCTS INC,US
RED TRAIL ENERGY LLC,US
Sears Oil & Gas,US
ROCKIES REGION 2007 LP,US
Independence Contract Drilling Inc,US
JP Energy Partners LP,US
BMB MUNAI INC,US
CHAPARRAL RESOURCES INC,US
LL&E ROYALTY TRUST,US
ECOPETROL SA,CO
SHELL LAND & ENERGY CO,US
PIONEER ENERGY SERVICES CORP,US
CENTRAL NATURAL RESOURCES INC,US
Atlas Resource Partners LP,US
QUICKSILVER RESOURCES INC,US
ROWLAND MARCUS C,US
SinoTech Energy Ltd,KY
ANADARKO PRODUCTION CO,US
DUMA ENERGY CORP,US
SABINE ROYALTY TRUST,US
DELAWARE EPL OF TEXAS LLC,US
ANTRY LISA L & STEVE A,US
MAJESTIC OIL & GAS,US
GeoPark Ltd,BM
CHESAPEAKE KNAN ACQUISITION LLC,US
Energy USA XXI Inc,US
Blaze Energy Corp,US
Archer Ltd,BM
MEXCO ENERGY CORP,US
FAR EAST ENERGY CORP,US
MEWBOURNE ENERGY PARTNERS 00 A LP,US
FOREST OIL CORP,US
Atlas Resources Public #18 2009 (C) LP,US
PENN WEST PETROLEUM LTD,CA
BP CORP NORTH AMERICA INC,US
Jones Energy Inc,US
LinnCo LLC,US
Champion American Energy Reserves Inc,US
HOMELAND RESOURCES LTD,US
North Texas Energy Inc,US
CHENIERE ENERGY INC,US
WesternZagros Resources Ltd,CA
PLAINS ILLINOIS INC,US
NOBLE ENERGY INC,US
PMCT INC,US
Resolute Energy Corp,US
On Demand Heavy Duty Corp,US
CNOOC Finance (2013) Ltd,HK
Emerald Oil Inc,US
Atlas America Series 27 2006 LP,US
TECHNOL FUEL CONDITIONERS INC,US
Storm Cat Energy CORP,CA
Petron Energy II Inc,US
