Company,Country
ATLAS AMERICA PUBLIC #9 LTD,US
SOUTHWEST ROYALTIES INSTITUTIONAL INCOME FUND VII B L P,US
CONOCOPHILLIPS AUSTRALIA FUNDING CO,US
TEL OFFSHORE TRUST,US
Harvest Operations Corp,CA
PENN OCTANE CORP,US
DELTA OIL & GAS INC,US
Sundance Energy Australia Ltd,US
TOTAL CAPITAL CANADA LTD,CA
DUNE ENERGY INC,US
NiMin Energy Corp,CA
DOUBLE EAGLE PETROLEUM CO,US
CHESAPEAKE ENERGY CORP,US
TMBR SHARP DRILLING INC,US
Reef Global Energy V LP,US
C&J Energy Services Inc,US
PLAINS RESOURCES INTERNATIONAL INC,US
PLAINS EXPLORATION & PRODUCTION CO,US
APACHE FINANCE PTY LTD,AU
COMSTOCK RESOURCES INC,US
Crown Exploration Fund I LP,US
Green Technology Solutions Inc,US
SOUTHWEST OIL & GAS INCOME FUND X B LP,US
SOUTHWEST OIL & GAS INCOME FUND X A LP,US
TRANSGLOBE ENERGY CORP,CA
VARCO INTERNATIONAL INC,US
DEREK OIL & GAS CORP,CA
CVR Refining LP,US
EGPI FIRECREEK INC,US
GEODYNE ENERGY INCOME LTD PARTNERSHIP II A,US
Texas Jack Oil & Gas Corp,US
BERKLEY RESOURCES INC,CA
TERYL RESOURCES CORP,CA
Colorado 2001A Limited Partnership,US
Colorado 2001C Limited Partnership,US
Colorado 2001B Limited Partnership,US
Colorado 2001D Limited Partnership,US
Kentucky USA Energy Inc,US
Bluefire Equipment Corp,US
TRINITY ENERGY RESOURCES INC,US
WHITING PROGRAMS INC,US
RIDGEWOOD ENERGY K FUND LLC,US
Offshore Petroleum Corp,US
PETROCHINA CO LTD,TW
MILLER ENERGY RESOURCES INC,US
BP PRUDHOE BAY ROYALTY TRUST,US
FEC Resources Inc,CA
SOUTHWEST OIL & GAS INCOME FUND XI A LP,US
SOUTHWEST ROYALTIES INSTITUTIONAL INCOME FUND XI B LP,US
SOUTHWEST ROYALTIES INSTITUTIONAL INCOME FUND XI A LP,US
ENTERRA ENERGY TRUST,CA
CYGNUS OIL & GAS CORP,US
GASCO ENERGY INC,US
SKYE PETROLEUM,US
Signature Exploration & Production Corp,US
UNITED STATES EXPLORATION INC,US
GREEN PLANET GROUP INC,US
SOUTHWEST PARTNERS III L P,US
